global_row_id,dataset_name,source_file,conversation_id,turn_index,speaker_id,role,start_time,end_time,duration_min,text,outcome,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
dealerships_nego__0,dealerships_nego,dealerships-nego.csv,2026_1,0,1,seller,0.0,2.59999847,,"Hello, this is Eric from Epidus.  How can I help you?",no sale,0.001384786,0.0007136141,0.0042736973,0.012332516,0.014362605,0.23102942,0.039859083,0.3136676,0.013339059,0.0028118722,0.003908171,0.0011843093,0.0009082638,0.002075658,0.0035881228,0.0031562934,0.0013854522,0.0012728536,0.0034612927,0.004101109,0.01570472,0.00017974619,0.0034529474,0.0012560878,0.007729747,0.00876727,0.0020331058
dealerships_nego__1,dealerships_nego,dealerships-nego.csv,2026_1,1,0,buyer,2.59999847,11.80000305,,"Hey, are you in sales?  Yeah, I'm in sales, sir.  Awesome.  I want to see if you guys  have a vehicle available.  Yeah. Which car is it?  I have a stock number  whenever you're ready.",no sale,0.5769806,0.0051972587,0.002119254,0.0036943094,0.08473541,0.0077167596,0.0329742,0.7513816,0.00988614,0.0018688774,0.004461494,0.000922298,0.00063555915,0.09493575,0.0014296188,0.0071856086,0.00080723123,0.01824947,0.013479665,0.0012895155,0.012613079,0.0012789968,0.0055088666,0.0016074161,0.0007668348,0.0021680624,0.017689664
dealerships_nego__2,dealerships_nego,dealerships-nego.csv,2026_1,2,1,seller,11.80000305,12.84000397,,"I'm ready, sir.",no sale,0.0052177613,0.0011519908,0.0010823276,0.003499883,0.4011743,0.008585356,0.0012082815,0.0015045474,0.0022848437,0.0006650108,0.0024314148,0.00054644205,0.00020224915,0.0074572577,0.00052564393,0.0026676038,0.00021876395,0.0079756705,0.002836627,0.00033571862,0.01111624,0.0008589177,0.0054826587,0.002071697,0.00027447272,0.0006781268,0.00047196102
dealerships_nego__3,dealerships_nego,dealerships-nego.csv,2026_1,3,0,buyer,12.84000397,19.63999941,,"OK, it's S as in Sam, S as in Sienna,  06, C as in Cyprus, 426.",no sale,0.0025207202,0.0014971307,0.0006554496,0.0037000247,0.31882033,0.0009596948,0.0056877295,0.0018433918,0.0007128025,0.0012356986,0.0030690783,0.0010088942,0.00036237753,0.0016751727,0.0008296453,0.001109716,0.00020116694,0.0022134073,0.0012324989,0.00043111094,0.004195208,0.00040401463,0.034998067,0.0010229967,0.00021878292,0.0008596121,0.00084151735
dealerships_nego__4,dealerships_nego,dealerships-nego.csv,2026_1,4,1,seller,19.76000211,21.00000001,,You said 426?,no sale,0.0014843937,0.0012962309,0.0023063035,0.009457297,0.008965765,0.0010212921,0.23571618,0.36803064,0.0008037305,0.0014320619,0.0030320596,0.0011122952,0.00059010973,0.0014225696,0.0007787985,0.0006089258,0.00022309026,0.00063564273,0.0010997447,0.00030799373,0.0021443958,6.229791e-05,0.0056953016,0.00013371588,0.0002736121,0.0007589802,0.0063612615
dealerships_nego__5,dealerships_nego,dealerships-nego.csv,2026_1,5,0,buyer,21.00000001,25.36000061,,"Yeah.  S as 06, E 426.  C as in Cyprus, yeah.",no sale,0.002333416,0.0013553571,0.0008217115,0.00413292,0.110528104,0.0005696391,0.0070746997,0.0019566817,0.00053604745,0.0014348371,0.0030551185,0.0011649772,0.00035531324,0.0011202514,0.0007228863,0.00059177546,0.00016579578,0.00096194586,0.0012034774,0.00024892166,0.0025696664,0.00021430316,0.023961589,0.00034595333,0.00019778777,0.0008033109,0.0008052894
dealerships_nego__6,dealerships_nego,dealerships-nego.csv,2026_1,6,1,seller,25.36000061,30.12000271,,"OK, let me see.  Hmm, I don't see it.  Like, what kind of car is it?",no sale,0.001920332,0.001206314,0.0014726024,0.007772744,0.022261051,0.0018026747,0.25327083,0.5856216,0.0026845362,0.0047123358,0.009473906,0.0011325922,0.0010824945,0.0068907994,0.0017582446,0.00045103257,0.00037937897,0.0015921588,0.0024363154,0.0012781121,0.0029558223,9.128554e-05,0.009708435,0.00037068225,0.00061571214,0.0021581263,0.01140208
dealerships_nego__7,dealerships_nego,dealerships-nego.csv,2026_1,7,0,buyer,30.12000271,32.00000001,,The Toyota Sienna Cyprus.,no sale,0.006476265,0.0019803133,0.0017820471,0.004795659,0.018420411,0.0007443793,0.0022242302,0.0014650137,0.00084146805,0.0025966514,0.0023423254,0.0019448671,0.0006918975,0.0036982642,0.0015760958,0.0011790617,0.00039782532,0.002725685,0.0012247203,0.00039233005,0.00163605,0.0005539171,0.0067672054,0.0004310201,0.00033390246,0.0017237113,0.0013366968
dealerships_nego__8,dealerships_nego,dealerships-nego.csv,2026_1,8,1,seller,32.00000001,35.95999911,,Toyota Sienna.  Sienna. Platinum.,no sale,0.0057582203,0.0021944437,0.0018613259,0.0044692373,0.019927435,0.00091677136,0.0020644355,0.0013878134,0.0012574196,0.002541413,0.0023176277,0.0020843847,0.00069831754,0.0048773335,0.0017489551,0.0011898607,0.00045648645,0.003294869,0.0018578776,0.0003802864,0.0019168732,0.0006278917,0.006956077,0.000470594,0.00037316827,0.0017968144,0.0012864725
dealerships_nego__9,dealerships_nego,dealerships-nego.csv,2026_1,9,0,buyer,36.36000061,43.68000081,,In the cypress color C is also is in Charlie or cat or color or cable,no sale,0.002730728,0.0014938824,0.0010474664,0.004179121,0.030441865,0.00069861236,0.0053014676,0.0014844587,0.00072980404,0.0026702082,0.004328554,0.0013796778,0.0004765924,0.0012553894,0.0010052592,0.0009595389,0.00028393505,0.0013627004,0.0010382506,0.00028410836,0.0026816372,0.00029441377,0.01462526,0.00036959333,0.00032667269,0.0014259876,0.0008088147
