conversation_id,speaker_id,start_time,end_time,text,outcome,role,is_bc,act_new_offer,act_repeat,act_push,act_comparison,act_allowance,act_end,push_subtype,comp_subtype,n_acts,acts_list
100,1,0.0,8.199,Hello Hello,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,1.0,9.199,Hi how are you,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,2.0,10.199,Good how are you,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,3.0,11.199,Not bad you're in New Haven,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,4.0,12.199,Um No I'm actually off campus at the,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,5.0,13.199,moment Mhm Yeah I just thought you did actually,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,6.0,14.199,Oh just Mhm All right,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,7.0,15.199,Well so you wanna do I need to start us off or do you want to start us,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,8.0,16.198999999999998,off I think you should come in with the initial offer,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,9.0,17.198999999999998,"Sure I'll start at 200,500",sale,buyer,False,1,0,0,0,0,0,,,1,new_offer
100,1,10.0,18.198999999999998,"All right I'm gonna have to say no to that Mhm I'm asking for 2 40,000 for the house Um I think that's a fair price Given the given the accommodations it's a four bedroom place with a recreation room 2.5 bathrooms Low level style Um It's one of the one of the nicer homes in the neighborhood I think That to 40,000 is an appropriate amount to be asking for a house like",sale,seller,False,1,0,1,1,0,0,push_neutral,comparison_quality,3,comparison|new_offer|push
100,0,11.0,19.198999999999998,this Yeah I really like the house but I'm just thinking about some of the other houses and um when I visited them I really enjoyed it as well And um even though yours I think is slightly bigger than um and one of them I just can't justify buying your house for for that much So mm me I think I would be willing to go two Well is there is there a price within the 220s that would be good for you,sale,buyer,False,0,0,0,1,0,0,,comparison_price,1,comparison
100,1,12.0,20.198999999999998,Um I think that's closer to what I'm looking for,sale,seller,False,0,0,1,0,0,0,push_neutral,,1,push
100,0,13.0,21.198999999999998,Um,sale,buyer,True,0,0,0,0,0,0,,,0,none
100,1,14.0,22.198999999999998,"um So what what is your Why should you only pay to 20,000 for this house",sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,15.0,23.198999999999998,Well I'm willing to say it let me just feeling fully transparent I think like um this is a lovely house Um I want to make sure you get the best deal for it When I'm looking at some of the other houses I see that per square foot it's coming about to like um 120 $24 per square foot And so for me you know again like you have a lovely house and I think 129 is the best I can do and I just want to be fully transparent Um I'm not trying to like familiar or anything but 1 29 is what I'm comfortable paying It's around the same price per square foot as the other homes Um And that's probably the highest I can go It is the highest I can go actually,sale,buyer,False,1,0,1,1,0,1,push_neutral,comparison_mixed,4,comparison|end|new_offer|push
100,1,16.0,24.198999999999998,Yeah I understand Um I do I do see what you're saying um in terms of the price per square foot in um in other homes in the in the neighborhood and I agree that um somewhere around 1 29 is is appropriate Um,sale,seller,False,0,0,0,1,0,1,,comparison_mixed,2,comparison|end
100,0,17.0,25.198999999999998,29 is my final offer I couldn't go any higher than that 2 to 3 to 29 91 29 to 29 Yeah,sale,buyer,False,0,0,1,0,0,0,push_neutral,,1,push
100,1,18.0,26.198999999999998,I think the the accommodations though I mean the home is newly decorated and has not one but two fireplaces finished hardwood floors I mean it's it's it's great like A detached garage 2.5 car garage I think I understand that you said to 29 is your final offer but I would be willing to go to 2:30 PM,sale,seller,False,0,0,1,0,0,0,push_neutral,,1,push
100,0,19.0,27.198999999999998,I can't do that To 29 is going to be my absolute top You know you have a great home But I mean the 2 13 houses really appealing to me as well And it's like it's close to the school it's also close to the park um In 229 is just my personal limit and I'm just not comfortable going anything above that Mhm,sale,buyer,False,1,0,0,0,0,0,,,1,new_offer
100,1,20.0,28.198999999999998,Mhm I think if you're also considering the 2 13 house with 17 15 square feet um the price per square foot on that house is um sorry is 124.37 which um is actually the lowest price per square foot for any of the similar houses on the market in the area And if we if we take that low end and multiplied by the square footage of the house that we are considering today it comes out to 2 29 5 92 I would be willing to go to 2:29 500 I think that's that's going to be my final offer,sale,seller,False,0,1,1,1,1,0,push_neutral,comparison_mixed,4,allowance|comparison|push|repeat_offer
100,0,21.0,29.198999999999998,So anything else we can negotiate I really think I just can't pay anything about 10-29 I'm thinking Mhm With the paper the house on Sure Is there anything not related to the austin price that That I could get to you because I can't come up above the 2:29,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,22.0,30.198999999999998,Yeah I'm sorry Could you repeat that You just cut out a little,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,23.0,31.198999999999998,bit um,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,24.0,32.199,Yeah go,sale,seller,False,0,0,0,0,0,0,,,0,none
100,0,25.0,33.199,ahead I'm longer I don't want to get all the cash and you are relocation fees as well as your next house But from the house I am only I'm only able to pay to 29 Yeah,sale,buyer,False,0,0,0,0,0,0,,,0,none
100,1,26.0,34.199,Okay I'll take 2:29,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,0.0,11.259,Okay I recorded too,sale,buyer,False,0,0,0,0,0,0,,,0,none
101,1,1.0,12.259,Okay great,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,2.0,13.259,Um So does the buyer start this time also hold on,sale,buyer,False,0,0,0,0,0,0,,,0,none
101,1,3.0,14.259,Ah Yeah I don't know I think the seller starts Um So I think I can um get this started here Uh So my offer for this lovely home with a convenient location and lovely amenities um is 240,sale,seller,False,1,0,0,0,0,0,,,1,new_offer
101,0,4.0,15.259,2 20,sale,buyer,False,1,0,0,0,0,0,,,1,new_offer
101,1,5.0,16.259,Okay let's see what we can do here Um Well as you know this is a very nicely located home with a very spacious layout 1846 sq ft Many bedrooms as well as a recreation room You can use that for a family You can turn that into um you know uh a lounge of some form movie theater even uh and 2.5 bathrooms Um We are looking at a nice um somewhat vintage type of home built in 1947 So it has a lot of history and character to it um that uh perhaps a younger home may not have Um And as you know this is a great neighborhood within walking distance of plenty of uh restaurants easy transportation to get to work Um And enviably note located near the Hastings and centennial Park's,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,6.0,17.259,um For my market research I'm seeing homes for 1875 sq ft that are selling for 233,sale,buyer,False,1,0,0,1,0,0,,comparison_mixed,2,comparison|new_offer
101,1,7.0,18.259,Yes but do you have further detail,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,8.0,19.259,on those homes Yeah These are similar homes in the neighborhood um with similar configurations,sale,buyer,False,0,0,0,1,0,0,,comparison_price,1,comparison
101,1,9.0,20.259,Yeah You have the specifics on those homes,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,10.0,21.259,I don't have specifics but they are close enough that I can decide to buy somewhere else for a larger for a larger square footage,sale,buyer,False,0,0,0,0,0,0,,,0,none
101,1,11.0,22.259,I see,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,12.0,23.259,these are comparable homes,sale,buyer,False,0,0,0,0,0,0,,,0,none
101,1,13.0,24.259,but without knowing the specifics it is a bit hard to tell if they're missing certain features that would bring up the value of the home such as my home Sorry could you say that again,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,14.0,25.259,to 25 Mhm 2 to 5,sale,buyer,False,0,0,0,0,0,0,,,0,none
101,1,15.0,26.259,Oh I'm afraid That's not quite what I think the value of this home would be Well,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,16.0,27.259,this home has been on the market for a long time and I'm pretty sure you want to get rid of it,sale,buyer,False,0,0,0,1,0,0,,comparison_price,1,comparison
101,1,17.0,28.259,Oh but I don't want to get rid of this lovely home at giveaway price It's a giveaway,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,18.0,29.259,prices very competitive for a market we're in right now,sale,buyer,False,0,0,0,1,0,0,,comparison_price,1,comparison
101,1,19.0,30.259,I'm not certain that it is giving a,sale,seller,False,0,0,0,0,0,0,,,0,none
101,0,20.0,31.259,parent downturns in the current market situations,sale,buyer,False,0,0,0,1,0,0,,comparison_price,1,comparison
101,1,21.0,32.259,but at a price like that it would just make more economic sense to me to hold on to the house um and find a seller who would um better appreciate its value Mhm Mhm Oh I don't know I think I think the house is worth at least 2 30 2,sale,seller,False,1,0,0,0,0,0,,,1,new_offer
101,0,22.0,33.259,2.3 No I'm sticking up to 25,sale,buyer,False,0,0,0,0,0,0,,,0,none
